[2025-09-30 14:28:25] User: guest, IP: ::1, Action: user_signup, Details: New user registered: steve
[2025-09-30 14:28:33] User: 10, IP: ::1, Action: user_login, Details: User logged in: steve
[2025-10-03 08:51:20] User: 3, IP: ::1, Action: user_login, Details: User logged in: s
[2025-10-03 08:51:21] User: 3, IP: ::1, Action: user_login, Details: User logged in: s
[2025-10-04 14:03:43] User: 4, IP: ::1, Action: user_login, Details: User logged in: j
[2025-10-04 14:16:18] User: 4, IP: ::1, Action: user_login, Details: User logged in: j
[2025-10-06 10:42:33] User: guest, IP: ::1, Action: user_signup, Details: New user registered: admin
[2025-10-06 10:42:41] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-07 12:34:16] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-08 12:00:32] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-08 18:19:11] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-09 10:18:41] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-09 18:37:38] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-09 18:39:08] User: guest, IP: ::1, Action: user_signup, Details: New user registered: kristine
[2025-10-09 18:41:33] User: 3, IP: ::1, Action: user_login, Details: User logged in: kristine
[2025-10-09 19:13:52] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-09 21:12:01] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-09 21:30:51] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-09 23:21:17] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-11 12:42:07] User: 1, IP: ::1, Action: user_login, Details: User logged in: KuyaJack
[2025-10-11 12:51:45] User: 1, IP: ::1, Action: user_login, Details: User logged in: KuyaJack
[2025-10-11 15:53:48] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-11 15:54:28] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-11 16:06:34] User: guest, IP: ::1, Action: user_signup, Details: New user registered: lloyd
[2025-10-11 16:11:28] User: 5, IP: ::1, Action: user_login, Details: User logged in: lloyd
[2025-10-11 16:27:24] User: 5, IP: ::1, Action: user_login, Details: User logged in: lloyd
[2025-10-11 16:44:55] User: 5, IP: ::1, Action: user_login, Details: User logged in: lloyd
[2025-10-11 16:48:38] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-11 16:51:13] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-11 16:51:21] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-11 16:51:33] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-11 16:51:46] User: 1, IP: ::1, Action: user_login, Details: User logged in: KuyaJack
[2025-10-11 16:51:57] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-11 16:52:30] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-11 16:52:57] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-11 17:00:27] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-11 17:02:53] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-11 17:03:51] User: 5, IP: ::1, Action: user_login, Details: User logged in: lloyd
[2025-10-11 17:07:12] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-14 13:39:27] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-14 15:34:49] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-14 17:33:03] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-14 17:52:03] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-16 00:41:21] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-10-16 02:08:18] User: 2, IP: ::1, Action: user_login, Details: User logged in: admin
[2025-11-20 12:32:32] User: 6, IP: ::1, Action: user_login, Details: User logged in: test
[2025-11-20 14:34:18] User: 7, IP: ::1, Action: user_login, Details: User logged in: rets
[2025-11-21 23:23:04] User: 8, IP: ::1, Action: user_login, Details: User logged in: me
[2025-11-21 23:47:36] User: 11, IP: ::1, Action: user_login, Details: User logged in: meow
[2025-11-22 10:14:17] User: 8, IP: ::1, Action: user_login, Details: User logged in: me
[2025-11-22 10:27:49] User: 8, IP: ::1, Action: user_login, Details: User logged in: me
[2025-11-22 12:11:26] User: 12, IP: ::1, Action: user_login, Details: User logged in: kite
[2025-11-22 14:01:29] User: 8, IP: ::1, Action: user_login, Details: User logged in: me
[2025-11-22 15:16:18] User: 8, IP: ::1, Action: user_login, Details: User logged in: me
[2025-11-22 15:28:25] User: 13, IP: ::1, Action: user_login, Details: User logged in: baron
[2025-11-22 19:55:51] User: 8, IP: ::1, Action: user_login, Details: User logged in: me
[2025-11-22 20:32:32] User: 14, IP: ::1, Action: user_login, Details: User logged in: memyself
