question,answer,follow_up
question,answer,
Hey,Hey there! How can I help you with your vehicle today?,
Hello,"Hi! I'm AutoFix, your car repair assistant. What's going on with your vehicle?",
Hi,Hey! What's the issue with your vehicle today?,
Thanks,You're welcome! Let me know if there's anything else.,
Thank you,Happy to help — drive safe!,
Bye,Goodbye! Take care and drive safely.,
My car has Key won't turn,Steering lock or ignition cylinder problem. Try jiggling wheel while turning key. A quick scan with an OBD-II tool can reveal useful codes.,
Getting a Check engine light on in the truck,Use an OBD-II scanner to read trouble codes and focus diagnostics on reported system.,
I have a Car won't start,"Check battery voltage, starter operation, and fuel delivery. Try a jump start and scan for codes. Check for obvious issues like low fluid, worn belts, or loose connections.",
Getting a Windshield wipers not working on cold start,"Check fuse, relay, or wiper motor; also inspect linkage. Try inspecting related components and let me know what you find.",
My van has ABS light on,"Check wheel speed sensors and ABS modules. Scan for ABS-specific codes. Start with basic checks: fluids, belts, fuses, and visible leaks.",
Excessive fuel consumption after rain,"Dirty air filter, bad O2 sensor, or low tire pressure can cause poor economy.",
I have a Key won't turn in my motorcycle,Steering lock or ignition cylinder problem. Try jiggling wheel while turning key.,
Getting a AC smells bad after rain,Mold in the evaporator or a dirty cabin filter. Replace the cabin filter and use an evaporator cleaner.,
My Hybrid not charging after rain,Regenerative system issue or inverter; scan for hybrid-specific codes.,
The Check engine after refuel at idle,A loose gas cap or EVAP system issue can trigger the light - tighten the cap and re-check.,
Getting a Fuel smell in cabin in my truck,"Inspect fuel lines, injector seals, and fuel tank vent for leaks. Check the battery terminals, fuses, and listen for unusual noises.",
My Cruise control not engaging,"Check brake/clutch switch, speed sensor, or cruise module. A quick scan with an OBD-II tool can reveal useful codes.",
The lorry has Battery drains overnight,Possible parasitic draw or failing alternator. Perform a current draw test and inspect accessories. A quick scan with an OBD-II tool can reveal useful codes.,
I have a Door lock failure after rain,Actuator or wiring problem; test lock motor and fuses.,
I have a Oil consumption high at idle,"Worn rings, valve guides or PCV issues; measure consumption and inspect.",
